image,category,product,count
cooldrinks.jpg,Soft Drinks,Sprite can,25
cooldrinks.jpg,Soft Drinks,Green Sands bottle,26
cooldrinks.jpg,Soft Drinks,Coca Cola can,36
cooldrinks.jpg,Soft Drinks,Fanta can,17
cooldrinks.jpg,Soft Drinks,carbonated drink,9
cooldrinks.jpg,Soft Drinks,soft drink,8
cooldrinks.jpg,Alcoholic Drinks,alcoholic beverage,2
cooldrinks.jpg,Dairy,milk carton,2
cooldrinks.jpg,Soft Drinks,energy drink can,2
cooldrinks.jpg,Beverages,plastic bottle of drink,7
cooldrinks.jpg,Beverages,drink package,1
cooldrinks.jpg,Soft Drinks,7UP,4
cooldrinks.jpg,Beverages,glass bottle of drink,11
cooldrinks.jpg,Beverages,drink container,1
cooldrinks.jpg,Beverages,soda can,2
cooldrinks.jpg,Alcoholic Drinks,beer bottle,1
cooldrinks.jpg,Sports Drinks,sports drink,3
cooldrinks.jpg,Beverages,water bottle,1
