image,category,product,count
cooldrinks.jpg,Soft Drinks,Sprite can,23
cooldrinks.jpg,Soft Drinks,Green Sands bottle,29
cooldrinks.jpg,Soft Drinks,Coca Cola can,45
cooldrinks.jpg,Soft Drinks,Fanta can,19
cooldrinks.jpg,Soft Drinks,7UP can,10
cooldrinks.jpg,Beverages,soda can,4
cooldrinks.jpg,Sports Drinks,sports drink,9
cooldrinks.jpg,Dairy,milk carton,2
cooldrinks.jpg,Energy Drinks,energy drink can,3
cooldrinks.jpg,Beverages,water bottle,4
cooldrinks.jpg,Alcoholic Drinks,beer bottle,7
cooldrinks.jpg,Alcoholic Drinks,wine bottle,3
