image,category,product,count
shampoo.jpeg,Personal Care,Herbal Essences shampoo,15
shampoo.jpeg,Personal Care,Dove shampoo,8
shampoo.jpeg,Personal Care,Pantene shampoo,7
shampoo.jpeg,Personal Care,Head and Shoulders shampoo,22
shampoo.jpeg,Personal Care,hair spray,1
shampoo.jpeg,Personal Care,cosmetic product,5
shampoo.jpeg,Personal Care,lotion bottle,8
shampoo.jpeg,Personal Care,personal care item,11
shampoo.jpeg,Personal Care,TRESemme shampoo,13
shampoo.jpeg,Personal Care,hair product,1
shampoo.jpeg,Personal Care,conditioner,1
shampoo.jpeg,Personal Care,container,1
