image,category,product,count
shampoo.jpeg,Soft Drinks,Green Sands bottle,5
shampoo.jpeg,Sports Drinks,sports drink,27
shampoo.jpeg,Energy Drinks,energy drink can,13
shampoo.jpeg,Beverages,coffee drink,1
shampoo.jpeg,Beverages,juice box,6
shampoo.jpeg,Dairy,milk carton,25
shampoo.jpeg,Alcoholic Drinks,beer bottle,1
shampoo.jpeg,Soft Drinks,Pepsi can,2
shampoo.jpeg,Soft Drinks,Sprite can,4
shampoo.jpeg,Beverages,water bottle,3
shampoo.jpeg,Beverages,fruit juice,3
shampoo.jpeg,Soft Drinks,7UP can,2
shampoo.jpeg,Alcoholic Drinks,wine bottle,1
