image,category,product,count
shampoo.jpeg,Personal Care,Herbal Essences shampoo,16
shampoo.jpeg,Personal Care,Dove shampoo,8
shampoo.jpeg,Personal Care,Pantene shampoo,7
shampoo.jpeg,Personal Care,Head and Shoulders shampoo,22
shampoo.jpeg,Personal Care,hair spray,1
shampoo.jpeg,Personal Care,cosmetic product,5
shampoo.jpeg,Personal Care,lotion bottle,10
shampoo.jpeg,Personal Care,personal care item,16
shampoo.jpeg,Personal Care,hair product,4
shampoo.jpeg,Personal Care,TRESemme shampoo,2
shampoo.jpeg,Personal Care,conditioner,1
shampoo.jpeg,Personal Care,container,1
